customer_id,signup_date,customer_age,customer_gender,state
CUST02438,2023-01-19,51,Female,NY
CUST00560,2022-06-08,23,Female,CA
CUST01617,2023-10-14,61,Other,FL
CUST01046,2022-10-14,59,Male,CO
CUST00142,2023-04-15,61,Other,AZ
CUST00051,2022-04-05,67,Male,AZ
CUST02051,2022-04-24,51,Male,NY
CUST01102,2024-02-20,37,Male,VA
CUST01182,2023-04-07,69,Other,IL
CUST00761,2023-12-14,49,Male,TX
CUST01548,2023-09-27,21,Other,VA
CUST02386,2023-04-18,29,Other,VA
CUST01381,2023-05-26,64,Female,CA
CUST00235,2022-03-01,47,Other,NC
CUST02865,2022-11-06,47,Other,WA
CUST02596,2022-05-08,63,Female,FL
CUST02866,2023-05-10,36,Male,NY
CUST02757,2023-07-22,19,Other,IL
CUST00367,2023-05-08,49,Other,FL
CUST00505,2022-09-15,32,Other,CA
CUST02970,2023-01-07,48,Other,CO
CUST00476,2023-06-26,65,Male,MA
CUST01496,2023-01-25,59,Female,FL
CUST02048,2022-04-27,56,Other,PA
CUST02351,2022-07-05,47,Female,AZ
CUST02869,2024-04-06,21,Other,NC
CUST01602,2024-03-07,35,Female,FL
CUST02907,2022-05-25,62,Female,IL
CUST00038,2022-01-07,44,Male,CO
CUST00215,2022-07-23,64,Female,NC
CUST01240,2022-09-30,49,Female,VA
CUST00492,2022-10-06,54,Male,NC
CUST01573,2023-10-17,48,Other,VA
CUST02278,2023-11-04,54,Other,WA
CUST02273,2023-01-31,46,Other,TX
CUST00511,2024-04-29,55,Female,GA
CUST02188,2023-03-27,24,Female,CA
CUST00151,2024-02-04,36,Other,GA
CUST01045,2022-12-15,61,Other,PA
CUST02594,2022-12-06,20,Other,TX
CUST02473,2023-03-10,25,Male,IL
CUST00925,2022-07-24,34,Male,MI
CUST02006,2022-03-13,33,Male,AZ
CUST01414,2022-01-03,47,Female,CA
CUST02694,2022-10-13,68,Male,FL
CUST02895,2024-02-18,64,Female,GA
CUST02604,2022-12-14,61,Other,MA
CUST00236,2022-09-04,59,Other,NY
CUST02807,2022-06-18,24,Other,WA
CUST02709,2023-04-02,52,Other,GA
CUST02105,2023-08-11,42,Other,IL
CUST01226,2022-09-28,26,Female,NC
CUST02000,2022-07-05,55,Female,WA
CUST00037,2024-06-09,25,Male,CA
CUST01928,2022-04-09,70,Female,OH
CUST00573,2023-02-26,69,Female,PA
CUST00130,2022-10-02,63,Male,IL
CUST02974,2023-01-31,59,Male,FL
CUST02779,2022-05-09,57,Other,MA
CUST00625,2022-09-29,54,Female,CO
CUST00423,2023-08-16,52,Other,MA
CUST01747,2023-05-17,54,Female,CO
CUST01746,2024-05-03,36,Male,IL
CUST00168,2022-06-13,62,Other,GA
CUST01247,2022-11-11,32,Male,OH
CUST00976,2022-05-04,41,Male,NC
CUST00791,2023-05-02,70,Female,CO
CUST00180,2023-07-21,32,Male,CA
CUST02064,2022-02-26,21,Other,VA
CUST02028,2022-02-23,55,Other,CA
CUST00656,2023-03-18,49,Other,FL
CUST00212,2023-10-17,32,Male,TX
CUST02958,2022-09-28,60,Male,IL
CUST01049,2022-10-10,39,Female,TX
CUST00836,2024-02-28,40,Other,OH
CUST00774,2023-06-28,48,Female,AZ
CUST00056,2022-12-19,21,Female,OH
CUST01387,2023-03-02,22,Male,IL
CUST01096,2024-01-09,46,Male,CA
CUST00919,2024-03-10,44,Other,GA
CUST00695,2024-03-15,57,Male,NC
CUST02173,2024-02-12,68,Female,NY
CUST01512,2024-02-04,26,Male,VA
CUST00464,2022-09-08,33,Other,CO
CUST01696,2023-08-22,18,Male,WA
CUST02380,2024-05-05,59,Male,NY
CUST00548,2022-08-04,53,Male,NC
CUST00864,2023-05-13,41,Male,FL
CUST00435,2022-07-29,18,Other,NY
CUST01706,2023-09-27,20,Other,FL
CUST00456,2023-07-05,25,Male,VA
CUST01057,2023-02-21,50,Male,CO
CUST00868,2023-11-16,37,Female,AZ
CUST00224,2023-09-06,29,Other,NY
CUST00268,2023-11-19,70,Other,MA
CUST02310,2023-06-24,20,Other,CA
CUST02973,2022-03-17,61,Other,IL
CUST00154,2023-08-21,63,Male,VA
CUST02055,2023-08-31,57,Other,NC
CUST02798,2023-03-20,27,Female,IL
CUST00358,2024-05-06,28,Female,TX
CUST01806,2024-05-29,26,Other,CO
CUST02638,2022-12-26,68,Male,NY
CUST01894,2023-11-02,21,Male,MI
CUST00818,2022-08-25,45,Other,FL
CUST01925,2022-03-29,28,Female,VA
CUST00867,2022-12-11,18,Other,GA
CUST01720,2022-04-30,70,Male,FL
CUST01948,2024-06-07,33,Other,WA
CUST01327,2022-11-28,36,Female,AZ
CUST02133,2024-06-10,22,Male,NY
CUST01547,2023-01-27,59,Female,WA
CUST00725,2022-08-19,57,Male,NC
CUST00426,2023-09-27,40,Other,CO
CUST01622,2024-02-13,45,Other,IL
CUST00064,2022-05-08,67,Male,FL
CUST02640,2022-02-13,41,Other,TX
CUST00408,2022-02-28,67,Other,FL
CUST00106,2022-06-25,52,Other,TX
CUST02587,2022-10-20,49,Other,MA
CUST02701,2023-06-15,58,Female,CO
CUST00317,2023-03-18,32,Male,CA
CUST01538,2023-08-03,37,Male,MI
CUST02515,2023-06-23,26,Other,AZ
CUST01495,2023-07-01,57,Other,WA
CUST02901,2022-09-05,25,Other,MI
CUST01610,2024-03-05,52,Other,OH
CUST01306,2022-12-08,57,Female,PA
CUST02404,2023-05-08,41,Female,TX
CUST00882,2023-08-01,44,Other,VA
CUST00953,2023-08-16,38,Other,FL
CUST00509,2023-10-12,21,Female,NY
CUST01892,2022-04-28,25,Female,NY
CUST01233,2022-07-22,49,Male,OH
CUST01785,2022-05-09,51,Male,FL
CUST01308,2023-11-18,45,Male,WA
CUST00926,2024-05-09,33,Male,IL
CUST00871,2023-02-19,66,Female,GA
CUST01860,2023-02-16,63,Other,WA
CUST00282,2022-08-24,34,Female,MI
CUST01093,2022-09-15,40,Female,NY
CUST02081,2022-05-13,39,Female,PA
CUST01131,2023-07-21,60,Male,CA
CUST01091,2022-10-05,51,Female,MA
CUST02029,2022-06-09,19,Other,IL
CUST01251,2023-08-06,32,Male,CO
CUST01369,2022-01-15,65,Other,OH
CUST00449,2022-03-16,47,Male,VA
CUST02010,2022-02-01,68,Male,TX
CUST02720,2023-04-08,18,Female,OH
CUST01001,2023-12-26,49,Male,IL
CUST01841,2023-08-31,47,Male,PA
CUST02374,2023-07-01,36,Male,NC
CUST00603,2022-07-17,42,Male,CO
CUST00891,2022-07-06,68,Male,NC
CUST02726,2023-11-30,40,Male,MA
CUST01939,2022-12-04,29,Other,CA
CUST00571,2022-12-07,22,Female,MI
CUST00752,2024-02-08,42,Other,PA
CUST01890,2024-03-23,68,Other,NY
CUST02317,2022-01-19,57,Male,NC
CUST02662,2024-05-19,21,Male,TX
CUST02937,2023-04-14,26,Male,AZ
CUST02555,2024-03-08,61,Female,AZ
CUST01601,2023-12-04,27,Male,NY
CUST02528,2023-01-18,59,Female,MI
CUST00410,2022-03-24,67,Female,NY
CUST01161,2023-12-04,25,Other,PA
CUST02962,2023-02-17,62,Other,MA
CUST01442,2022-08-28,64,Male,OH
CUST01543,2022-06-29,30,Male,FL
CUST01654,2023-06-28,34,Other,MA
CUST00432,2023-06-20,26,Female,WA
CUST02485,2023-09-30,40,Female,VA
CUST01172,2024-02-22,55,Female,TX
CUST00576,2024-06-03,64,Male,WA
CUST02052,2022-10-18,48,Male,TX
CUST01222,2023-04-10,21,Female,MA
CUST00279,2022-01-22,38,Female,OH
CUST00455,2022-03-17,66,Female,AZ
CUST01351,2022-07-28,61,Female,MA
CUST01962,2022-08-18,59,Other,OH
CUST00227,2022-01-20,20,Other,TX
CUST02873,2023-04-10,20,Female,PA
CUST02411,2023-06-13,35,Male,CA
CUST02227,2023-10-30,21,Male,MA
CUST01307,2022-11-25,58,Other,GA
CUST00945,2024-02-05,39,Other,CO
CUST02044,2022-10-07,20,Male,NY
CUST01576,2022-09-14,19,Female,GA
CUST01378,2023-10-26,67,Female,GA
CUST00448,2024-02-09,33,Other,GA
CUST01150,2022-09-16,68,Male,FL
CUST01027,2022-09-07,62,Female,WA
CUST00152,2023-08-22,20,Female,WA
CUST00737,2023-04-12,54,Male,FL
CUST02076,2022-01-08,63,Other,VA
CUST02943,2022-02-21,20,Other,MI
CUST01704,2023-04-28,27,Female,CO
CUST00657,2022-03-13,47,Female,NC
CUST02382,2023-01-12,54,Male,GA
CUST00920,2023-10-30,37,Male,CA
CUST01299,2023-10-13,31,Male,MI
CUST00988,2023-10-26,47,Male,CO
CUST02333,2022-04-14,30,Other,CA
CUST00484,2024-06-18,67,Other,MA
CUST02110,2022-10-24,26,Female,TX
CUST02494,2023-10-10,42,Female,MI
CUST00552,2022-04-16,33,Male,MA
CUST00724,2022-11-14,30,Female,AZ
CUST01323,2023-04-11,52,Female,WA
CUST01167,2022-11-08,38,Other,AZ
CUST01142,2023-08-11,18,Female,TX
CUST02001,2024-06-09,32,Other,FL
CUST02894,2022-05-14,35,Male,FL
CUST02980,2024-04-25,21,Other,TX
CUST00158,2022-05-22,59,Other,MI
CUST00802,2023-05-12,61,Female,WA
CUST00878,2023-07-01,46,Female,AZ
CUST02392,2023-06-25,61,Other,IL
CUST01607,2023-05-24,31,Male,IL
CUST01741,2024-01-15,53,Other,NC
CUST01688,2023-07-04,24,Other,FL
CUST01604,2022-02-20,37,Male,AZ
CUST01679,2024-05-16,41,Female,WA
CUST01554,2022-08-26,25,Male,WA
CUST02941,2022-12-28,44,Other,CO
CUST00420,2022-05-03,23,Male,GA
CUST01642,2022-04-03,63,Male,OH
CUST01603,2024-02-02,23,Male,NY
CUST01931,2023-01-17,49,Male,MI
CUST01567,2022-06-11,44,Female,NY
CUST02307,2024-04-28,23,Male,OH
CUST00344,2022-10-13,46,Other,GA
CUST00150,2022-09-27,27,Female,NC
CUST00966,2023-10-05,49,Other,OH
CUST00498,2022-07-28,70,Female,FL
CUST01636,2023-03-28,65,Male,MA
CUST02806,2022-11-08,60,Other,MA
CUST02148,2024-03-05,34,Female,MA
CUST02203,2023-04-08,19,Other,WA
CUST01125,2023-12-27,69,Female,TX
CUST00422,2022-09-10,60,Male,NY
CUST02426,2024-04-16,44,Other,MA
CUST00319,2023-03-10,26,Other,TX
CUST01611,2024-03-29,38,Female,PA
CUST00586,2024-06-12,30,Other,FL
CUST01498,2023-10-04,46,Other,GA
CUST01479,2022-06-08,38,Other,CA
CUST01127,2022-05-10,58,Other,MA
CUST02489,2024-05-06,65,Female,AZ
CUST02684,2023-03-31,46,Other,PA
CUST02735,2022-10-25,22,Male,WA
CUST02821,2022-10-09,36,Female,OH
CUST00362,2024-05-19,25,Other,GA
CUST01011,2023-07-06,68,Male,NY
CUST00817,2022-06-04,24,Female,WA
CUST02815,2024-05-16,44,Male,IL
CUST01402,2024-06-03,26,Female,GA
CUST02586,2022-07-15,59,Male,CA
CUST02526,2023-10-13,63,Other,PA
CUST00165,2022-04-23,52,Female,GA
CUST02858,2023-10-17,22,Female,IL
CUST02967,2023-08-07,60,Female,OH
CUST02738,2022-06-11,37,Male,WA
CUST02446,2022-12-10,37,Other,CA
CUST00007,2022-08-17,48,Female,WA
CUST02679,2022-06-07,29,Male,IL
CUST01905,2023-02-28,23,Other,CO
CUST00048,2024-02-21,34,Other,MI
CUST01528,2024-03-26,53,Other,AZ
CUST02899,2022-04-19,39,Female,NC
CUST01504,2022-02-06,27,Female,NY
CUST01330,2023-02-18,35,Other,TX
CUST02977,2024-02-22,70,Female,AZ
CUST02331,2024-05-14,61,Female,MA
CUST02209,2022-03-20,28,Other,TX
CUST00743,2023-12-15,70,Female,GA
CUST00398,2024-02-05,62,Other,NY
CUST01594,2024-04-29,62,Other,AZ
CUST00697,2023-09-14,60,Male,NC
CUST01513,2022-04-03,66,Other,MA
CUST01163,2022-06-05,60,Female,NY
CUST01186,2023-08-26,23,Male,NC
CUST02814,2022-10-18,26,Other,MI
CUST01639,2023-01-09,29,Other,GA
CUST02332,2024-03-18,45,Other,NC
CUST00981,2022-12-22,52,Female,IL
CUST02794,2023-08-25,53,Other,CO
CUST02928,2023-04-24,29,Female,NC
CUST02661,2022-05-27,44,Other,NY
CUST00582,2024-03-17,39,Male,MA
CUST02823,2023-10-03,68,Male,TX
CUST01486,2023-12-11,66,Female,MI
CUST00601,2022-01-25,67,Female,PA
CUST02084,2023-12-22,26,Male,NY
CUST01549,2023-12-01,68,Female,IL
CUST01140,2024-06-12,45,Female,CA
CUST00135,2024-01-06,53,Other,GA
CUST02826,2023-07-01,30,Male,VA
CUST02141,2022-03-20,63,Other,CO
CUST00805,2022-10-09,42,Other,IL
CUST01761,2023-12-04,52,Other,CA
CUST02078,2024-02-04,43,Male,CO
CUST01998,2022-12-26,40,Female,AZ
CUST02613,2024-03-31,28,Other,NC
CUST01230,2023-08-27,53,Female,PA
CUST01255,2023-04-25,67,Female,WA
CUST01872,2022-03-09,50,Other,FL
CUST02286,2022-05-25,60,Female,NC
CUST01165,2024-04-10,51,Female,NC
CUST01796,2024-04-12,51,Other,TX
CUST02914,2023-03-05,25,Male,CO
CUST02884,2023-09-14,20,Male,OH
CUST01530,2022-10-28,56,Other,AZ
CUST02316,2023-01-06,61,Female,TX
CUST01908,2023-04-10,34,Male,CO
CUST02678,2023-09-12,58,Male,TX
CUST02466,2022-08-09,35,Other,VA
CUST00669,2023-11-14,59,Female,GA
CUST00855,2024-01-23,27,Other,CA
CUST02116,2024-03-31,43,Male,PA
CUST01958,2022-08-06,42,Other,IL
CUST02671,2024-03-08,38,Male,VA
CUST02038,2023-11-09,69,Male,CO
CUST00592,2024-04-16,33,Other,MA
CUST00461,2022-12-24,57,Male,MI
CUST01893,2024-05-23,18,Male,WA
CUST01578,2024-05-15,22,Other,WA
CUST00770,2022-05-17,32,Other,CO
CUST01382,2024-01-04,47,Female,NY
CUST00259,2022-08-05,36,Other,TX
CUST00518,2023-10-15,49,Other,GA
CUST00581,2022-06-13,31,Other,AZ
CUST02498,2024-01-06,67,Female,IL
CUST00558,2023-09-28,46,Male,AZ
CUST01645,2024-02-05,18,Female,CO
CUST01930,2024-01-27,43,Female,OH
CUST01047,2023-09-03,43,Male,CO
CUST02732,2022-03-08,55,Female,CO
CUST02903,2022-05-06,43,Male,NC
CUST00389,2022-06-08,70,Female,GA
CUST02142,2023-06-07,60,Male,WA
CUST01871,2022-06-01,43,Other,NY
CUST00658,2023-11-12,28,Male,WA
CUST01437,2022-07-13,28,Male,CA
CUST02296,2022-03-28,42,Other,MA
CUST01079,2023-01-13,36,Male,CA
CUST01813,2022-04-23,21,Female,WA
CUST01804,2022-01-03,24,Female,CO
CUST01689,2022-05-07,54,Other,TX
CUST00962,2022-03-19,36,Female,PA
CUST02902,2023-04-23,43,Male,NC
CUST00218,2024-02-20,44,Male,VA
CUST01624,2024-02-25,33,Other,NY
CUST00798,2022-10-11,54,Other,GA
CUST02808,2022-06-15,60,Female,NY
CUST00372,2022-06-18,21,Other,FL
CUST02282,2022-12-08,62,Female,AZ
CUST01536,2023-06-28,19,Other,IL
CUST02457,2024-02-17,30,Other,CA
CUST01277,2024-05-06,64,Other,CO
CUST02698,2024-01-24,26,Other,OH
CUST01656,2022-10-07,41,Other,WA
CUST02137,2022-08-15,28,Other,NC
CUST02013,2023-06-28,66,Female,CA
CUST00771,2024-03-31,31,Female,PA
CUST01441,2023-01-28,37,Male,PA
CUST02919,2022-12-02,28,Female,NY
CUST00985,2023-01-15,53,Male,NY
CUST01732,2023-04-10,20,Female,VA
CUST00273,2023-04-08,43,Other,FL
CUST00445,2022-11-04,42,Other,VA
CUST00937,2023-04-22,18,Male,IL
CUST02716,2022-05-06,51,Male,TX
CUST01798,2022-08-27,62,Other,VA
CUST00267,2023-02-13,43,Female,MA
CUST00025,2023-07-29,50,Other,TX
CUST02341,2023-11-09,69,Other,VA
CUST00628,2023-09-03,27,Other,MI
CUST00175,2023-01-26,33,Other,WA
CUST01853,2022-11-05,25,Other,CA
CUST02672,2023-10-23,63,Male,MA
CUST01815,2024-06-06,60,Female,MA
CUST01685,2023-02-09,28,Female,AZ
CUST01487,2023-02-12,26,Female,OH
CUST01701,2022-04-21,48,Male,NC
CUST00082,2022-10-24,31,Other,WA
CUST01839,2023-01-06,28,Male,NC
CUST02350,2022-06-16,51,Female,MI
CUST01668,2022-04-28,35,Female,CO
CUST02729,2023-11-15,24,Female,CO
CUST00309,2024-03-14,67,Female,NC
CUST02885,2022-05-28,18,Female,VA
CUST02562,2024-04-10,38,Female,NY
CUST02683,2023-01-16,18,Female,OH
CUST02934,2022-04-03,19,Male,GA
CUST01467,2024-06-14,45,Male,NC
CUST01298,2023-03-23,33,Other,MI
CUST01110,2024-01-12,24,Male,NY
CUST01783,2022-12-08,24,Female,NC
CUST00887,2023-03-15,53,Male,FL
CUST01398,2023-06-05,36,Male,MA
CUST00957,2023-11-25,48,Female,IL
CUST01318,2023-02-15,54,Male,TX
CUST00587,2022-02-09,65,Male,NC
CUST01287,2022-02-11,37,Female,OH
CUST01017,2024-01-19,55,Male,NC
CUST01537,2023-02-26,60,Female,TX
CUST02096,2022-02-13,62,Female,GA
CUST01463,2023-08-28,62,Other,TX
CUST00635,2023-09-13,44,Other,TX
CUST02857,2023-09-25,50,Male,PA
CUST02014,2022-08-09,32,Other,PA
CUST01153,2022-04-27,24,Female,PA
CUST02665,2024-03-11,30,Female,GA
CUST02094,2024-06-01,63,Male,WA
CUST00677,2022-07-16,66,Other,VA
CUST02608,2023-05-25,48,Other,CO
CUST01107,2024-01-27,19,Female,IL
CUST02750,2024-03-22,49,Male,AZ
CUST00194,2022-10-28,53,Male,TX
CUST00597,2024-03-25,43,Female,MA
CUST02222,2024-01-27,60,Other,CA
CUST00176,2023-09-03,33,Female,NY
CUST02054,2023-11-26,39,Female,AZ
CUST00479,2024-04-16,46,Male,OH
CUST02624,2022-11-25,69,Male,MA
CUST00858,2023-09-10,68,Other,PA
CUST01854,2023-04-15,23,Other,WA
CUST02537,2024-01-21,37,Other,AZ
CUST02208,2022-10-21,45,Other,AZ
CUST01033,2023-01-24,24,Female,MI
CUST01269,2024-01-23,52,Other,TX
CUST01898,2023-07-19,30,Male,IL
CUST00667,2023-06-04,29,Male,PA
CUST00416,2023-11-23,42,Female,NY
CUST02601,2024-02-01,64,Other,PA
CUST01945,2023-11-13,57,Other,CO
CUST02283,2022-03-25,60,Female,NY
CUST00999,2024-04-28,44,Female,PA
CUST02733,2023-07-18,37,Female,MI
CUST00924,2022-09-11,41,Other,VA
CUST01843,2023-04-08,44,Male,MI
CUST01773,2023-04-11,62,Female,NC
CUST01244,2022-03-03,19,Female,OH
CUST02295,2023-12-27,21,Other,CO
CUST00258,2023-03-10,68,Female,CO
CUST01373,2022-08-19,47,Male,OH
CUST02810,2023-12-28,35,Other,CA
CUST02202,2023-04-18,63,Other,MA
CUST00443,2023-11-19,45,Male,NC
CUST02193,2022-11-07,28,Male,AZ
CUST00986,2022-03-12,19,Other,PA
CUST00704,2022-08-07,18,Other,MA
CUST00906,2023-03-08,61,Male,NC
CUST01584,2022-04-20,68,Female,WA
CUST00095,2023-01-15,53,Other,FL
CUST00842,2023-08-13,55,Other,NC
CUST01019,2022-10-02,52,Other,VA
CUST01593,2022-01-23,45,Female,MI
CUST01502,2024-06-12,58,Male,WA
CUST00379,2023-04-11,21,Female,AZ
CUST01678,2023-02-11,50,Male,PA
CUST00968,2022-04-15,68,Other,IL
CUST02963,2023-01-10,62,Male,NY
CUST02067,2022-11-05,55,Other,AZ
CUST01144,2023-04-26,31,Female,TX
CUST01888,2023-03-17,24,Other,VA
CUST01660,2024-04-24,35,Male,VA
CUST00474,2024-04-06,21,Other,GA
CUST01522,2022-06-20,26,Other,IL
CUST02677,2022-02-03,39,Female,NY
CUST00680,2023-01-24,26,Female,VA
CUST01886,2023-06-02,24,Male,GA
CUST02985,2022-05-12,48,Other,CA
CUST01711,2023-10-26,59,Male,PA
CUST00898,2022-12-01,67,Other,TX
CUST02288,2022-11-14,69,Other,WA
CUST01345,2024-02-14,33,Female,TX
CUST01902,2023-03-17,61,Male,PA
CUST02553,2022-06-29,36,Female,IL
CUST01262,2023-07-07,53,Male,TX
CUST00653,2023-11-18,64,Male,GA
CUST02655,2023-06-10,50,Other,TX
CUST02636,2023-12-08,37,Other,NC
CUST02085,2022-08-24,28,Other,PA
CUST00980,2022-02-12,55,Female,VA
CUST01340,2022-02-25,35,Female,IL
CUST00607,2024-06-04,40,Male,OH
CUST02069,2024-02-25,27,Female,CO
CUST02207,2024-05-01,56,Female,CA
CUST00946,2024-01-06,45,Male,IL
CUST00909,2022-03-25,26,Other,MI
CUST02056,2023-05-14,30,Female,OH
CUST02297,2022-11-14,70,Other,GA
CUST01026,2023-04-07,41,Other,IL
CUST02544,2024-02-14,24,Male,AZ
CUST00350,2024-04-07,25,Male,NC
CUST00491,2022-06-09,64,Male,TX
CUST01058,2023-05-16,65,Female,NC
CUST00094,2022-06-16,31,Other,WA
CUST01304,2022-12-23,40,Male,WA
CUST02920,2023-08-15,24,Other,NY
CUST01366,2022-06-12,23,Male,CA
CUST01083,2022-12-19,64,Female,AZ
CUST02243,2023-10-24,48,Other,CO
CUST02369,2024-02-10,24,Other,IL
CUST02420,2023-06-10,46,Other,WA
CUST00191,2023-10-19,67,Other,TX
CUST01694,2023-11-20,65,Female,TX
CUST02717,2022-05-19,30,Male,TX
CUST00650,2024-01-07,66,Male,TX
CUST02170,2023-10-06,42,Male,TX
CUST01968,2023-01-12,52,Other,FL
CUST02955,2022-04-21,64,Male,PA
CUST01159,2023-08-14,30,Other,IL
CUST02269,2022-12-04,29,Other,NY
CUST02402,2022-02-23,48,Female,MA
CUST00895,2022-12-02,36,Female,MI
CUST00487,2022-04-29,50,Female,TX
CUST00027,2024-01-04,49,Other,AZ
CUST01430,2023-07-20,59,Female,NY
CUST00186,2023-11-30,39,Male,GA
CUST02804,2023-06-15,37,Other,NC
CUST02924,2024-02-21,69,Other,AZ
CUST00706,2023-04-30,51,Other,NY
CUST00373,2023-01-24,47,Female,MA
CUST00841,2024-02-23,61,Male,MI
CUST02791,2024-03-09,46,Other,AZ
CUST02478,2022-11-05,49,Other,NC
CUST00606,2022-10-13,59,Male,WA
CUST01921,2023-05-01,25,Female,GA
CUST00364,2022-06-20,31,Female,MI
CUST00852,2023-03-06,22,Female,PA
CUST00502,2022-09-28,27,Other,FL
CUST02042,2023-03-29,29,Male,NY
CUST00580,2022-10-01,48,Male,NC
CUST01509,2023-12-02,31,Other,FL
CUST00642,2022-02-15,54,Female,OH
CUST02987,2023-02-08,28,Female,GA
CUST00447,2022-11-20,32,Other,MI
CUST02820,2023-07-19,25,Male,AZ
CUST02156,2022-08-30,24,Male,GA
CUST01911,2024-01-18,19,Female,CA
CUST01659,2022-09-21,67,Other,WA
CUST01342,2023-06-15,26,Male,MI
CUST00438,2022-11-18,37,Other,VA
CUST02988,2023-01-18,22,Male,MI
CUST00291,2022-03-11,64,Other,WA
CUST01384,2023-06-06,60,Male,WA
CUST00088,2023-01-25,65,Other,TX
CUST01748,2023-09-23,68,Other,MA
CUST01583,2023-05-10,21,Other,CO
CUST02086,2023-05-28,64,Other,AZ
CUST01081,2023-07-21,23,Female,PA
CUST02166,2023-11-03,49,Male,OH
CUST02843,2024-04-25,48,Female,PA
CUST02388,2022-10-16,43,Other,AZ
CUST02477,2022-09-01,41,Other,GA
CUST00602,2023-11-07,36,Male,PA
CUST00914,2022-02-23,27,Female,NY
CUST00483,2022-04-17,66,Other,MA
CUST02468,2022-06-03,70,Female,AZ
CUST00584,2022-04-21,18,Other,NY
CUST00383,2024-01-19,69,Male,OH
CUST02407,2023-07-22,70,Male,CA
CUST02507,2023-03-03,44,Male,WA
CUST01317,2023-11-10,21,Male,TX
CUST02612,2022-10-01,37,Other,VA
CUST01652,2024-06-16,70,Other,IL
CUST01575,2023-12-08,22,Male,MI
CUST00831,2022-03-05,35,Other,GA
CUST01914,2023-03-14,59,Male,NC
CUST01729,2023-07-05,32,Male,GA
CUST01216,2022-08-26,36,Other,TX
CUST00388,2023-05-14,34,Other,MI
CUST02047,2023-06-09,32,Male,CO
CUST02574,2022-02-12,21,Female,CA
CUST01745,2022-04-12,30,Other,FL
CUST02123,2023-03-24,69,Female,VA
CUST01431,2024-02-21,41,Male,VA
CUST01086,2023-07-18,37,Female,VA
CUST00162,2024-02-13,31,Female,CA
CUST00139,2023-05-27,36,Other,CA
CUST02098,2022-01-20,68,Female,FL
